# dbox2d conformance trace v1 kind=function name=collide_chain_segment_and_circle ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 256
case 0 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 1 3f9d70bc bfa2f2c6 bf384fde bf31aa6c bddaf5b6 3da143a8 3e853b24 3fa3b028 bf964249 3f7ed6b9 3dc2d911 | bf31aa68 3f384fe0 00000000 1 3fa805d5 bfa126db 3da9518d 3c65f588 3d0ab59a bdae491f bdc1a028 0
case 191 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 192 3fa12c40 3f9d3c3c bf5e3405 befe41f6 bc9ccad0 bba18e20 3e7d742e 3f86df7e 3faf5e6d 3f13a515 bf512248 | befe41f5 3f5e3405 00000000 1 3f948d80 3f95b9af bdc9ebfa bd70519f 3ddae026 be4d25f0 bb80b740 0
case 192 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 193 bf9530aa bf56ccae bf31d552 bf382679 3da8f3ba 3e155f2c 3ea19ede bf8ced04 bf37dd3d bf590719 bf07c680 | 00000000 00000000 00000000 0
case 193 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 194 bfea7fd8 410b41d6 3f3f7392 3f29f2b4 3d06b110 bcc86190 3f6251c5 bfe7a848 4108e5f2 3f56d53b 3f0b38e2 | 00000000 00000000 00000000 0
case 194 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 195 c034ade9 bf8ca41a 3f800000 00000000 3e011f02 bd7e8064 3ecc2db2 c02f2b1e bf9170e7 3f800000 00000000 | 00000000 bf800000 00000000 1 c027192e bf72fd98 3e594bb2 3e192a72 3e011f02 3e3f90da be992a72 0
case 195 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 196 3eeb75d0 40283ed0 3e736f6d 3f78a92b bd484ff8 bd034f6c 3e714a16 3edc94bf 40168cf3 3f25457c 3f4380b9 | 3f78a92b be736f6d 00000000 1 3e935080 4014f758 be304aa0 be9a3bc1 be12887e bccacd90 be43cfbc 0
case 196 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 197 3fbcc6fa bd96d930 3f7fc038 bd34ab06 bda43a15 3d82d9d2 3ede54d6 3fbf2bab bf534123 be9ce7e8 3f73aeb6 | 00000000 00000000 00000000 0
case 197 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 198 c0de893d c08ab996 bf026a6c 3f5c4a46 3ead8b5c bee967d3 3f3afdf6 c0a1c891 c0289dce bf1fd6fe bf47f7d4 | 00000000 00000000 00000000 0
case 198 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 199 3f864410 3ffa72f4 3f800000 00000000 bd063c40 3de79904 3e9199bd 3f8b8501 3f9a72f4 3f800000 00000000 | 00000000 00000000 00000000 0
case 199 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 200 402007c0 4008d090 bf3ed0cd bf2aa963 bb58e800 bab70180 3e15815e 3feeb1c4 4024d369 3f262175 3f42c5ee | 00000000 00000000 00000000 0
case 200 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 201 3d9df940 3f5504a8 bf292fa8 bf402005 bda366e1 bd12df8c 3ec453a2 c0582b74 4083147c bf4eea3d 3f16bd23 | 00000000 00000000 00000000 0
case 201 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 202 40c9e914 400a7614 3f665bea 3edf583e be2d5d5a 3e152d2c 00000000 414c5968 c11b4df4 bf7dc8c0 be06700c | 00000000 00000000 00000000 0
case 202 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 203 401947b2 bd1ba100 3f800000 00000000 3e09557a bd98c066 3edf7058 4027e4a9 c0993742 3f800000 00000000 | 00000000 00000000 00000000 0
case 203 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 204 c02baad7 c02796cf bf2adf22 bf3ea0ab 3e0c6b1a 3e02dd6c 3ebeaa96 c0c6de05 3f0ea2e8 3f589932 bf087592 | 00000000 00000000 00000000 0
case 204 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 205 bfbed6fe 3f87ce90 bf6f10df 3eb71f74 3de8f2a0 bde85dd2 3e662200 bfa484b4 3f9c90de 3f56f745 3f0b044c | 00000000 00000000 00000000 0
case 205 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 206 411f807e 3e2c3140 bf24e0d1 bf43d5a8 3e539da8 3ed8b3b2 3f9fdc40 41101420 3e4036fe bf78bbc5 be723eae | bf43d5aa 3f24e0ce 00000000 1 41195bd2 bf58717e bec49588 bf81bee7 3f147b1c bf843f9f bf37defa 0
case 206 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 207 bfd34ea6 bf24a748 3f800000 00000000 bdf9478d 3d808b68 3e869126 bff47d68 bf5e40e2 3f800000 00000000 | 00000000 bf800000 00000000 1 c00208f0 bf17c715 bec30ceb 3d4e0330 bdf9478c 3e8cf39a bdce0330 0
case 207 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 208 bf38ff70 bf11c324 3f65e8cf 3ee130b3 bdb5fbd3 3c91fdf0 3ec6d2a8 bf12aec5 bf3f226f bf74a276 be96dcec | 3ee130ae bf65e8d0 00000000 1 bf1fe621 bee55884 3dc8ca7a 3df8b710 bd5375bc 3e98ec5a be070dde 0
case 208 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 209 bf7b32f6 be643dc8 bf4ba33b 3f1b2342 be0a5d7c 3d99ba00 3ea58464 bf6e3a47 be5b7edc be5fdba5 bf79ced2 | 3f1b233e 3f4ba33e 00000000 1 bf7bdabd be9b7e0a bb27c690 bda57c9a bd5a0759 bdb6fa72 be06d0b6 0
case 209 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 210 bdd3e180 408bea98 3f7670c1 3e8a9be6 3e4e259c 3e5f75c0 3f7a70f4 3e9d8a49 408b7613 3f6d22e7 bec0e5c7 | 00000000 00000000 00000000 0
case 210 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 211 3f6d7fd8 bfa6e44e 3f800000 00000000 bc0b2110 3dafbd5e 3edef558 3f424482 bfabb11b 3f800000 00000000 | 00000000 00000000 00000000 0
case 211 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 212 c011e2a4 3ffe6300 3f159938 3f4fbdad 3d497994 3e0b717e 3ee313e0 c019707c 3fe13154 beaafd77 3f714d47 | 00000000 00000000 00000000 0
case 212 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 213 beacb758 3f5f4ec0 3cce7757 bf7feb2e bde995d4 bd5f3026 3ebcbd14 bf8b130e 3f5496fc bf65e08c bee1526d | 00000000 00000000 00000000 0
case 213 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 214 40ea7358 bf978730 be9dd63c bf738837 3e913722 3e91d724 3fbcf67a 40a48280 3e398a78 3eb27b0b 3f6ff127 | 00000000 00000000 00000000 0
case 214 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 215 3f811c00 3fd948b4 3f800000 00000000 3dd15270 bd966861 3eccb7b4 3f94d3a7 3f729168 3f800000 00000000 | 00000000 00000000 00000000 0
case 215 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 216 bf8a0414 beee2dd8 3e9a0fff 3f7422b6 3d5b5ce8 bd45f326 3ee2345e bee7c1ec bf799812 be6a2f82 3f793725 | 00000000 00000000 00000000 0
case 216 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 217 3f4b8698 bfadb1db be979669 bf7485c9 bd8326a1 3e178730 3eaf2c78 c06c4e38 3e56db28 3e08d57e 3f7db443 | 00000000 00000000 00000000 0
case 217 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 218 4099c3b4 40409a80 bf0d08e2 bf55a5bc 3e06550c be842b08 00000000 c0dfbfce 411a48f3 3f0d8b82 bf554f49 | 00000000 00000000 00000000 0
case 218 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 219 3fe38cc8 3fb7e270 3f800000 00000000 b97e6800 bde6c5ce 3e3fbab2 3ff06495 c0540ec8 3f800000 00000000 | 00000000 00000000 00000000 0
case 219 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 220 3f93e228 c01b6fb7 3f49773d 3f1df2ab bdcc4732 bd0f3c52 3e35499e 4085f99e c0c2cfde bc890e1f 3f7ff6d5 | 00000000 00000000 00000000 0
case 220 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 221 3f894b92 bf44f08a 3f04d410 3f5ad806 3d63d694 3c6d61e0 3e96d248 3f9d2658 bf72874b 3f196d7c bf4ceddc | 3f5ad806 bf04d411 00000000 1 3f835b24 bf556945 bd3e0dba bd83c5d6 be4e599e 3de8f032 bc4dcde0 0
case 221 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 222 406daedc 3fe52fd0 3f7c2152 be316028 3db84970 bbce8180 3e99e634 4075e8fd 3f80d1c4 be7293ff 3f78b693 | 00000000 00000000 00000000 0
case 222 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 223 3d41e180 3fd1a4a4 3f800000 00000000 3e14d65e bcebb1d8 3eb50284 3e763920 3fb4d7d7 3f800000 00000000 | 33fc320d bf800000 00000000 1 3ec587be 3fd8072a 3ead4b8e 3d4c50c8 3e14d65c 3e8cbd4d bdcc50c8 0
case 223 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 224 bfc27485 3fa6544c bf4c3345 3f1a657d 3d6be6a4 3d34a968 3e7c6f2c bfbada65 3fc4afe5 be4ef76e bf7ab773 | 3f1a657d 3f4c3345 00000000 1 bfc7bcd3 3fa5f188 bd2909cc bb4588a0 bdce26e6 be75f2ea bd5f97dc 0
case 224 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 225 3f4bc298 3ed0b7a4 3f7b2ce4 3e45ddc4 3dbc60ac bd8dc84f 3e768421 3f180dd2 3ea8c852 3f64842a 3ee6caf6 | 3e45ddbe bf7b2ce4 00000000 1 3f2d2532 3eeec4bd bdf4eb2f 3d7068c8 3da8bb01 3e0bf8d6 be2543bc 0
case 225 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 226 3e2af140 bfa1c348 3f411a09 bf281216 3e84cb0a 3ea99354 3ea8eb52 3f14bb08 bfe51a22 bf595d4b bf073c59 | 00000000 00000000 00000000 0
case 226 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 227 c00a6895 bf5567a8 3f800000 00000000 3d2b9fc0 3bac0e20 3e6099f5 c004a2e3 bf5f0142 3f800000 00000000 | 35781139 bf800000 00000000 1 c001f464 bf3d7528 3e074308 3dbf93fe 3d2b9fa0 3e063067 be3f93fe 0
case 227 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 228 3fac2a58 c02e32dc bf7ffc39 bc2fe29a bd779056 3e01ce36 3eb17cfc 3fa379e9 c02bd85d bf7ffea4 bbd31edb | 00000000 00000000 00000000 0
case 228 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 229 3e27ad50 3f75d4ec 3f6372e9 3eeaf8f2 3c029440 bd66169a 3dab8dbe 3f107354 3ea56234 bf132f3f 3f517548 | 00000000 00000000 00000000 0
case 229 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 230 409914b0 bf262d50 bd7d1efb bf7f82bf 3e900320 bd8b5918 3fb88ef1 40113d71 bf4dec38 bf19d6cf 3f4c9ed5 | 00000000 00000000 00000000 0
case 230 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 231 3e6629c0 bfbeae7d 3f800000 00000000 bb66b500 3d8711dc 3ea96b6c 3e020b5e c00f573e 3f800000 00000000 | 00000000 00000000 00000000 0
case 231 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 232 3ef895f0 403ed3fc bed49353 bf68e47b bb94a780 3e0d5182 3eb3a982 be79ecc0 404c2050 3f7fffcf bb1ff955 | 00000000 00000000 00000000 0
case 232 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 233 bfb0cce2 bc3ac180 3ea04d13 bf73211f bd73ed1c 3dc11f1c 3e83fd22 c0be2502 bfac913f bd9917ba bf7f48a5 | 00000000 00000000 00000000 0
case 233 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 234 bf25b550 c1040048 bf7f78f1 bd836a79 3dea99d8 beaac356 00000000 c00d4d9a 40a5adce 3f7617bf 3e8d0eeb | 00000000 00000000 00000000 0
case 234 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 235 3ecb0598 c012b4a6 3f800000 00000000 3e0eca52 3cd73818 3edde2d6 3e1191f4 c0e15a53 3f800000 00000000 | 00000000 00000000 00000000 0
case 235 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 236 bfd2f4a6 bf8cc21a 3f767e4f be8a3b5a be0a1314 3dadf55c 3dd2460b c02d2087 c0b79148 3f58d536 bf08161e | 00000000 00000000 00000000 0
case 236 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 237 3d17b120 bfade4dc 3f0be8cf 3f5662d3 3da29d46 3ce47e98 3e4d61ce 3e55dff2 bfc0e39e be592611 3f7a2d82 | 3f5662d0 bf0be8d1 00000000 1 3c970981 bfab7d98 bc9858bf 3c99d0fe be42fec2 3e2b3030 bd53a55c 0
case 237 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 238 c0cd181a bfb20360 be91c7da 3f75675c 3efba7f8 bbba8180 3f21bf44 c0b0bde6 bfdeabb6 bf27864f 3f419357 | 3f75675d 3e91c7d2 00000000 1 c0cd1074 bfc434b8 3a74b640 be118ac2 bf629472 3e53b7ee bda21818 0
case 238 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 239 bf5393a8 bd99f140 3f800000 00000000 bd406fe6 bd822d05 3ea2e8e0 bf0d31b4 be99af84 3f800000 00000000 | b35dca01 bf800000 00000000 1 bf1938b2 bd7738d4 3e696bd7 3c72a6b0 bd406fe4 3e7590d3 bcf2a6b0 0
case 239 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 240 40031886 bf933426 3f70d86b 3ead8b9d bdfd2462 bc673b60 3e5cbbed 40025997 bfb25a72 bea3df94 bf728883 | 3ead8ba3 bf70d86a 00000000 1 40006472 bf8e9d36 bd2d051f 3d12de01 bcfa92be 3e8ef4f0 bdc4d1b3 0
case 240 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 241 3fa0acc0 3f1dd23c 3f7e9372 bdd7b725 3def4910 bd03df6e 3da2a5ac 3f94a33e 3f16b7ab bf4b5ec1 bf1b7cfc | bdd7b710 bf7e9372 00000000 1 3f876d16 3f213b6b be49fd4c 3c5a4bac bdd36278 3d283bfb 3c76a750 0
case 241 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 242 409bcbb8 c11ad576 bf4eccb4 3f16e5a5 3d2a9150 be5f55be 3f5f8e3f 40b2ecaf c120cbd9 3f459939 3f22c28e | 00000000 00000000 00000000 0
case 242 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 243 bfd07ea1 bed8fdb0 3f800000 00000000 3da8f886 bdb930a6 3e72e219 bfecdf5a beec30e3 3f800000 00000000 | 347a259d bf800000 00000000 1 bfe24fd2 bebd04d8 be0e8988 3d5fc6c0 3da8f880 3dbcb02c bddfc6c0 0
case 243 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 244 bfd8a6b2 c03768ef 3f4c113a 3f1a9277 3d2cb628 bd64a9ca 3ea78868 bfb7a62f c02dec00 3f78d7e0 be706f26 | 3f1a926f bf4c1140 00000000 1 bfc4cd1e c026fdba 3e1ecc9c 3e8359a6 bdd26ef8 3dddc8b8 be630d3c 0
case 244 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 245 bdf259e0 bf398c72 3f5dd9a2 beff7ce4 3d983532 bd0e091c 3ecee2b8 bed418ab bfb5bdde 3f53e990 3f0fa0e9 | 00000000 00000000 00000000 0
case 245 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 246 41043748 c115e6ec 3f7fa475 bd586c79 3ed353a6 bdf019e0 3fb2e8a6 4105f6fe c13e0cf0 bf654b14 bee3b075 | 00000000 00000000 00000000 0
case 246 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 247 c000de82 4009cf94 3f800000 00000000 3dbfa3e6 bdb06a2e 3eb6c608 c0082184 3fb39f28 3f800000 00000000 | 00000000 00000000 00000000 0
case 247 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 248 c020d0c2 be73a9f0 3e578490 3f7a4410 bdbe9be4 3dce5738 3ecf4d38 bfe438b4 bed2d4c4 3e990928 3f744c08 | 00000000 00000000 00000000 0
case 248 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 249 3fb999f2 bf6074c1 be313aef bf7c22f5 3d8c951a bdfba45e 3e0ab649 c04cc31d 3de0cb88 3f7f47ee bd9963b1 | 00000000 00000000 00000000 0
case 249 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 250 40de893c bfa90750 bf7eced5 3dc568d2 3eee1bdc be99ab34 00000000 4109495d 41415cbc bf57b85b 3f09d7ec | 00000000 00000000 00000000 0
case 250 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 251 bf1efb40 4018e7b2 3f800000 00000000 3b75b500 3d995066 3eb54784 bf370e0a c017184e 3f800000 00000000 | 00000000 00000000 00000000 0
case 251 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 252 3f1adb38 3f6d1fd8 3edb71b2 bf674b58 3cf47850 bd9b906b 3ee36960 c066202e bfa692fe bf6afda6 becb20f4 | 00000000 00000000 00000000 0
case 252 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 253 3cd56180 3e28e550 3f797949 be65be10 3dce78d0 bd567348 3ea56664 3e3e2f8a bdd25a78 3f50139d 3f152197 | be65be0f bf797948 00000000 1 3eb5c971 3e246192 3ea87359 bb9077c0 3e2d6358 3e86c767 be0e5fb0 0
case 253 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 254 40b14ce4 c0a616cc 3f5c8535 3f0206ae 3eabaf58 be087510 3fa547ca 40c3ccec c0b70aca 3e84eb41 bf77390d | 3f0206ae bf5c8535 00000000 1 40af8ad7 c0a26a07 bd610656 3deb3154 bf2210a5 3f25061a be81df28 0
case 254 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 255 bfa87652 c01d0aba 3f800000 00000000 bd45dff2 3d2eb2f8 3e842ea2 bfa592cc c02b7120 3f800000 00000000 | b4248519 bf800000 00000000 1 bfabc1cb c01a9d9d bcd2de52 3d1b4744 bd45dfe9 3e869c18 bd9b4744 0
case 255 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 256 c01290a5 3f19c730 3f7c1ac5 be31f4fd bcb50498 3d439ff0 3ec67d26 c01f8f9d 3ed0ec68 3f7a40c2 3e57c1ef | be31f4f8 bf7c1ac5 00000000 1 c01e6141 3f3bed45 be3d09bf 3e089854 3c972e08 3ea6ee22 be4b5424 0
