# dbox2d conformance trace v1 kind=function name=make_rot ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 1024
case 0 4124df05 3fd1eba5 | bf23342f bf453b6b
case 862 bee2ca60 bd90611c | 3f6731db bedbdd0d
case 863 40dd60ea 3f8cef19 | 3f4e135f 3f17e25f
case 864 40b0ce52 3f611dc6 | 3f39e758 bf2fffdf
case 865 c10d1fd9 bfb3af67 | bf5295c2 bf119156
case 866 bfd72810 be88f90e | bde3cd69 bf7e6952
case 867 c0fd6f03 bfa15743 | bd88aa5a bf7f6deb
case 868 406cbb2c 3f16b52d | bf59323e bf078172
case 869 c0ac2477 bf5b2db6 | 3f1e6b76 3f49184e
case 870 410738b1 3fac2b57 | bf101049 3f539de7
case 871 3fbafac8 3e6e11e1 | 3de39b47 3f7e6a04
case 872 c115c6bd bfbeb37d | bf7f76e4 bd84681e
case 873 c105cf66 bfaa5f54 | bef9d9ee bf5f7304
case 874 4089f3ba 3f2fa561 | bec88bb3 bf6b8b78
case 875 41351855 3fe693ce | 3ea321df bf72a87a
case 876 3dce9100 3c838117 | 3f7eaa68 3dd0d47b
case 877 403d5c40 3ef119e0 | bf7ba818 3e3bd3ca
case 878 c1346540 bfe5afcb | 3e8dd596 3f75fb31
case 879 c0e06c0f bf8edf1e | 3f3ec012 bf2abc14
case 880 c105160b bfa97353 | bee57602 bf64d9ee
case 881 3fb25700 3e6311c0 | 3e3675c4 3f7be73e
case 882 c12b88f4 bfda67b5 | be8b9f3f 3f764c24
case 883 3f506e80 3e04b113 | 3f2fbdc9 3f3a25d1
case 884 c0578654 bf093511 | bf796582 3e671487
case 885 c012cce0 bebae974 | bf296368 bf3ff266
case 886 409bfe02 3f469d8e | 3e272441 bf7c911a
case 887 3fb9cd30 3e6c91e0 | 3df6729b 3f7e23c5
case 888 411098f3 3fb81b71 | bf6cea30 3ec1fbb8
case 889 4145eb95 3ffbfff8 | 3f7aff86 be496e9c
case 890 c04cc638 bf025d05 | bf7f8e70 3d7106f9
case 891 4080b92e 3f23e54a | bf22f07f bf45735b
case 892 c141c8d6 bff6bbee | 3f65e090 3ee1525f
case 893 c030a574 bee0e9be | bf6d7c0d bebf2d19
case 894 c0ae7fab bf5e2dbc | 3f2cc2d3 3f3ceac0
case 895 c051637c bf054d09 | bf7dc995 3e0656e4
case 896 c094dfd4 bf3d8d7c | bd798d08 3f7f8641
case 897 c131daec bfe273c5 | 3df8cd34 3f7e1a98
case 898 402541fc 3ed269a7 | bf58e931 3f07f644
case 899 40f53616 3f9c1b39 | 3e442d8f 3f7b4213
case 900 be9d47e0 bd48418e | 3f73e712 be9b880e
case 901 c1118adb bfb94f72 | bf7234e0 bea5cb82
case 902 c145939e bffb8ff8 | 3f79dbd7 3e5ef2a7
case 903 c0fa8993 bf9f7f3f | 3ccdaafb bf7feb59
case 904 413311f3 3fe3ffc8 | 3e496234 bf7b0026
case 905 3f894d38 3e2ed160 | 3ef4ed8b 3f60ced2
case 906 4130aa2d 3fe0efc1 | 3d3f32bc bf7fb890
case 907 405e1a4c 3f0d651d | bf722cbf bea5fafc
case 908 c10addc7 bfb0cf62 | bf3c1016 bf2db0c0
case 909 410c5d11 3fb2b766 | bf4b71d2 3f1b6408
case 910 412c3c07 3fdb4bb6 | be6bffdf bf791bc4
case 911 40ffd082 3fa2db47 | be10a665 3f7d6ed8
case 912 bf8d0848 be339166 | 3ee7c632 bf64448e
case 913 c07900e0 bf1e853f | bf3b7686 3f2e5674
case 914 402d35cc 3edc89ba | bf6809b4 3ed8480d
case 915 bf208550 bdcc61a1 | 3f4f42ab bf164372
case 916 c04d82b8 bf02d506 | bf7f5d27 3d9049cc
case 917 3ec2fb40 3d784212 | 3f6d8c64 3ebedbd3
case 918 408b40be 3f314d63 | beb5517b bf6f68d7
case 919 3ff469e0 3e9b9938 | beaac274 3f7157b9
case 920 3fc64528 3e7c7204 | 3cb5bbff 3f7fefdf
case 921 40b2cb42 3f63a5c6 | 3f4474db bf2422ff
case 922 411014ff 3fb7736f | bf69aeb6 3ed11439
case 923 c12562f8 bfd293a6 | bf1cc768 3f4a6075
case 924 c10ae734 bfb0db62 | bf3c7624 bf2d4202
case 925 404e585c 3f035d08 | bf7f1aaf bdab2d39
case 926 411ff00f 3fcba398 | bf5748c2 bf0a85f8
case 927 c108664c bfadab5b | bf1f351d bf4878cd
case 928 3e789600 3d1e4135 | 3f7864b2 3e77c413
case 929 413f255f 3ff35fe7 | 3f5058e8 bf14c0b9
case 930 be216780 bccd819f | 3f7cc348 be2254b4
case 931 40f1d942 3f99f734 | 3e962f4d 3f74bd2a
case 932 c0d56d1b bf87df10 | 3f6d0436 bec17c62
case 933 401ba2e8 3ec62990 | bf4228e7 3f26d8e1
case 934 c0c546a5 bf7b2df6 | 3f7e2af6 3df49606
case 935 bfcac948 be811905 | bc609e95 bf7ff9d7
case 936 3f6f74a0 3e187130 | 3f17fe2c 3f4dfede
case 937 bfa04670 be4c1193 | 3ea1173c bf72ffb5
case 938 4010c9a4 3eb85970 | bf23478e 3f452b62
case 939 c131bb81 bfe24bc4 | 3de91b0d 3f7e5619
case 940 411ed54d 3fca3b93 | bf604c19 bef6cb1a
case 941 4137beef 3fe9f3d4 | 3ef09f7c bf61f795
case 942 c0b3ec4c bf6515ca | 3f4a1d2c 3f1d1e20
case 943 bfedbcd0 be975932 | be9173e2 bf7573d1
case 944 c0be6d94 bf7275e4 | 3f71e14a 3ea7b0d8
case 945 412ac94f 3fd973b3 | bea26fb9 bf72c659
case 946 c0c9408d bf801f00 | 3f7ffece bbc653a2
case 947 c038cb8c beeb49d6 | bf77abf7 be818880
case 948 410daa15 3fb45f69 | bf575d17 3f0a6658
case 949 40d32b06 3f866f0b | 3f73399c 3e9fb831
case 950 c13881b8 bfeaebd6 | 3f02e0e7 3f5c03f5
case 951 412d56c9 3fdcb3bb | be26a789 bf7c963f
case 952 c0b519e7 bf6695ce | 3f4fbf85 3f1596a7
case 953 40e078a2 3f8ee71f | 3f3e7d08 3f2b06df
case 954 c06804c4 bf13b528 | bf628b73 3eee70d1
case 955 c09cd3a4 bf47ad90 | 3e417a36 3f7b6392
case 956 c1098d9e bfaf235e | bf2d3678 bf3c80bf
case 957 be84eec0 bd29414c | 3f775099 be843b97
case 958 c0e13520 bf8f5f1e | 3f3a824c bf2f5ba0
case 959 405a2cec 3f0ae513 | bf76cb90 be880f9e
case 960 c0f19424 bf99cb34 | 3e9a4bb9 bf741948
case 961 c03c9fc0 bef029df | bf7b195f be4768a4
case 962 40e7afee 3f937f25 | 3f13814d 3f513b89
case 963 c0f50a19 bf9bff38 | 3e49937f bf7afdac
case 964 4063fe4c 3f112523 | bf699000 bed19d51
case 965 c080f1b8 bf242d47 | bf219345 3f469189
case 966 4084f832 3f294d52 | bf07742d bf593a86
case 967 408fabbe 3f36ed6c | be63c866 bf799607
case 968 c0c8c92b bf7fa5ff | 3f7ffd7a 3c0fec51
case 969 4132a721 3fe377c6 | 3e2f18e3 bf7c3acd
case 970 40aa0816 3f587dae | 3f10da0e bf5313ff
case 971 c0759130 bf1c5538 | bf4488fc 3f240ae5
case 972 40b4d4c6 3f663dca | 3f4e7b3f bf175507
case 973 41417725 3ff653eb | 3f63982a beea6883
case 974 c103c2be bfa7c350 | bebef8d6 bf6d8690
case 975 404b8c0c 3f019503 | bf7fccfd bd2193f9
case 976 beadc660 bd5d41cf | 3f71480d beab1afd
case 977 c003ed28 bea7f951 | bef18765 bf61b9b2
case 978 4055e7a0 3f082d0f | bf7ac74a be4dc375
case 979 3fcffd58 3e84690a | bd60f56f 3f7f9d17
case 980 412270f7 3fced39f | bf3f2025 bf2a5081
case 981 c1117e4a bfb93f72 | bf71f3ba bea74652
case 982 3a96c000 393ff0dc | 3f7ffff5 3a998a9a
case 983 40b781ae 3f69a5d6 | 3f5a5dda bf059c8b
case 984 c0b666eb bf683dd0 | 3f55a402 3f0d0b81
case 985 40ce09ce 3f832b05 | 3f7cd920 3e2030c8
case 986 be73dfc0 bd1b4149 | 3f78ace5 be7332a5
case 987 be27b000 bcd581a0 | 3f7c8221 be288c8e
case 988 c0def30f bf8def1c | 3f4663fd bf21cb2d
case 989 c0d0a3d9 bf84d30a | 3f78c1b4 be71dd17
case 990 413a0749 3fecdbd9 | 3f171fd8 bf4ea22f
case 991 404f9284 3f042507 | bf7ea494 bdd29998
case 992 bf2f3f50 bddf21be | 3f464c34 bf21e852
case 993 40fc156a 3fa07b3f | bcc4e2b1 3f7fed12
case 994 407c4ad4 3f209d40 | bf32460c bf37b959
case 995 c13b7095 bfeea7de | 3f28b51d 3f408ba9
case 996 c0b45d66 bf65a5cc | 3f4c4266 3f1a5176
case 997 400d3444 3eb3c966 | bf180332 3f4dfb28
case 998 c0a82446 bf5615ab | 3f042df2 3f5b3c82
case 999 c0e2c743 bf905f20 | 3f31b136 bf384951
case 1000 414249a5 3ff75fef | 3f694aa9 bed2d147
case 1001 41451917 3ffaf3f6 | 3f7814fb be7cb56e
case 1002 4135f11b 3fe7a7d0 | 3ebc7990 bf6e0613
case 1003 c0c14cbd bf761ded | 3f7867bb 3e779363
case 1004 413df17d 3ff1d7e5 | 3f449d18 bf23f2c7
case 1005 41407263 3ff507e9 | 3f5bb55c bf0364b0
case 1006 41127033 3fba7375 | bf767425 3e8a83c5
case 1007 c0c24812 bf775dee | 3f7a2f7f 3e590153
case 1008 40e8e3d2 3f944328 | 3f0b8f9d 3f569ceb
case 1009 c09a3351 bf445588 | 3ddc23b0 3f7e844d
case 1010 400704dc 3eabe958 | bf037cd4 3f5ba6eb
case 1011 c0b374e9 bf647dc8 | 3f47ceae 3f200a6d
case 1012 4127e703 3fd5c7ab | bef683f4 bf605fa8
case 1013 bfe4b480 be919922 | be5d1467 bf79f665
case 1014 c0af230a bf5efdbe | 3f307d17 3f39707b
case 1015 bfe96ae8 be949927 | be80d879 bf77c2eb
case 1016 c094a0fd bf3d3d7a | bd8ca066 3f7f6551
case 1017 c008b020 beae095b | bf0926eb bf582910
case 1018 4106fd01 3fabdf58 | bf0cf934 3f55b015
case 1019 409a1a2e 3f443587 | 3dd5d886 bf7e99c1
case 1020 c07d9190 bf216d42 | bf2e946e 3f3b3ccf
case 1021 c0a512da bf522da4 | 3edd5757 3f66d78b
case 1022 3fcc0ff8 3e81e8ff | bcc34b80 3f7fed60
case 1023 c08162d4 bf24bd4b | bf1ed2ce 3f48c6b9
