# dbox2d conformance trace v1 kind=function name=collide_segment_and_circle ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 256
case 0 bedc1b1e 3d94cdf2 3e89fefa 3d3a2f18 3f9d70bc bfa2f2c6 bf384fde bf31aa6c bde4f8fe bde7a29c 3e716b16 3f98e297 bfa16f68 3f7ed6b9 3dc2d911 | bf2a5e41 3f3f13e3 00000000 1 3f98c16e bfbf7ee9 bd15e9b0 be64611b ba84a200 be707c0b be3090bb 0
case 193 be97e0e6 3e9c8b75 be978a7a 3e9cedff 40128c28 c10d30da beda842d bf67838c 3e87670e bd6e91e0 3fb3f068 400a8dfd c10d1b35 bf321d7b bf37e0ad | bf6fc7dc beb35886 00000000 1 403e5bc6 c1094d6c 3f2f3e78 3e78db8d 3f4f3724 3e73724d bf19d7ec 0
case 194 be6287ec 3e407a96 3e9551be be82cf44 3fb3e668 bf993a32 3f800000 00000000 3e16b3fa 3d4fe33c 3dd11409 3faf31f1 bf9a2d88 3f800000 00000000 | 3f2770f3 3f41a5d2 00000000 1 3fb9426c bf9dd3f9 3d2b8087 bd1338ea 3da107b4 bce99c54 3bb156e0 0
case 195 bec7169c 3ed636cb 3ec5dab4 beff279d 3fc57a8c c03903f2 bf37b2d2 3f324cc8 3ddfedc0 3a7acf00 3e37d7a3 3fc732e0 c036c659 3f636d2a beeb0f36 | 3f7f6654 bd8c2bd0 00000000 1 3fc2cc53 c0395a8d bcab8e2b bbad3580 bd0cd196 bd250cf0 bdc19c8b 0
case 196 3e665312 3e8fa334 bd6e2626 bec7fdbe 3fb97ef2 3ebf5f80 3f743858 3e9986a4 3e16972e bd95e1f9 3dba39db 3f752942 be455500 bf7e3e62 3def7c41 | 00000000 00000000 00000000 0
case 197 3efdf05c 3f8def70 bef93754 bf6e1104 40dabf34 401a9838 be84c6eb 3f773def 3e11a524 befb2bf6 3fbaa735 410e0cb6 4076e0ce 3f68c694 bed51632 | 00000000 00000000 00000000 0
case 198 be474afe 3f1b73c6 3ea66bb7 bf2badda 400daa9c c02520ca 3f800000 00000000 3da5cd4c bd93038d 3edd07d4 3fbf3ad2 c032aa4c 3f800000 00000000 | 00000000 00000000 00000000 0
case 199 3e0b911b 3d6f3733 bead9d10 be39d7c9 bfbb2477 be6329c0 bf490e9e 3f1e77c4 3dd26da4 3e0cb31a 3ee046da c00c75f4 bd7baf58 be7d6bc8 bf780959 | 00000000 00000000 00000000 0
case 200 3c4678f0 bf024a58 3d4f4fc0 3f2173bc bed057a0 3f890f92 3f6c6490 bec4838e bd95eb93 3b984140 3e270382 c09cd30a 40270348 3f6fc8b5 3eb353fc | 00000000 00000000 00000000 0
case 201 3f81f232 3f90de5c bed31160 bfe37340 c090efa2 c0c47109 3f7f0dca bdafea19 bee5e3cc be45c58c 00000000 41000621 bf8ed320 bf6259d2 3eef2d0c | 00000000 00000000 00000000 0
case 202 bac26c40 be821257 3e1ff57c 3e7dae6e 3fdca8b8 bf940028 3f800000 00000000 3d026904 3c1747a0 3ecf8338 3f197b92 c0b8ae35 3f800000 00000000 | 00000000 00000000 00000000 0
case 203 bf29787c be2077ac 3ee73e6c 3c8abc6c 3f185f30 bf7a27f4 be15d1c1 3f7d3ec7 3bbef4c0 bdfb5c5e 3e8d04b4 c01f5ae2 40289c65 3f7fcd7d bd20c858 | 00000000 00000000 00000000 0
case 204 beb5297c bf235b12 3e88793c 3effb617 3f0f5020 bfb528ea 3e968320 3f74b04a be03663a 3d09a5e0 3e64f5fd 3ebc8ab1 bfc443c5 bf5d4c88 bf00b24c | bf37398b bf32c965 00000000 1 3f1c7840 bfb15834 3d5281fb 3cf42d90 3e78cb9d 3e175c8a be00714b 0
case 205 3fee430e be8843c2 bfb73fe0 bea14592 40f56d68 c0380270 bdc094db bf7edd9d 3ed49faa 3e942328 3fb45469 40de2d5e c043ea0d bf743df9 be9962c5 | bf7f31d4 3da25279 00000000 1 40f5ca37 c062df85 3c399eb8 bf2b7455 3f3ce6cb bef7abc2 bf375836 0
case 206 bf011f2f be60d3d1 3eb3fada 3e07beeb bf95322a c000ea82 3f800000 00000000 bc5ce1c0 be194333 3ec1659c bf913cd1 bfe54e30 3f800000 00000000 | bec2cc28 3f6cbf6b 00000000 1 bf8801f1 c0098beb 3dd3038f be0a1696 3d93adff beb7269b be9c6e2e 0
case 207 befb12e6 bd08a524 3ea8c628 bc7e54de 3ff82cf0 bfef62de 3f6be6f8 3ec6dbb3 bbe72840 3d9cf86e 3ed8e34c 3ffa9310 bfd2afb0 3f66d8e3 bedd51bc | bed1125f 3f69af20 00000000 1 40081fe9 bff23e05 3e409716 bcb6c9c4 3e2d6616 be7c72a8 be1888a8 0
case 208 3ec940f4 3f0bd96b beddbd6a bf1ed185 3f610ac0 3f9c4ab8 3f7e8a0e bdda77ef 3d32dc9c 3e0b4fe4 3db289cc 3f589772 3f9e91cc 3f14e1df bf504139 | 3f3ff29f bf296329 00000000 1 3f700762 3fa92db5 3d6fca1b 3dce2fcc 3dbb7f7e 3da9be8c bd63c557 0
case 209 3e1fea84 3e36da70 3e1f55fc 3e360270 c1011c42 40debb3c bd20fb45 bf7fcd5e 3e706de0 bed787af 3ef783ef c0fe52a7 40ddd55b 3f1b7582 bf4b6477 | bf1e0dc4 bf4961fc 00000000 1 c0fbd288 40dab159 3e4cbf78 be013c6f 3da007b0 bdc9009e bdbcccf4 0
case 210 3ef96ca6 3e09f540 bf2eb277 3c6baf30 bf99f434 bed05da0 3f800000 00000000 bdf4b91d 3d3dbcb0 3ec9baae bf95377d bed37658 3f800000 00000000 | 3dd19e91 bf7ea7d1 00000000 1 bfa75391 be1ca9de bdd5f5ce 3e8208b1 be10e09f 3e852169 beb779f4 0
case 211 3e175ebb 3e062cb0 bea18cbc bd5df11a 3fcd609c bdb1f160 3e5a0320 bf7a217c 3d1fbc74 3d879842 3e63dbfb 3fd16e52 bddb1314 bf160e22 bf4f694a | bf540833 bf0f73aa 00000000 1 3fe4a748 bdc5d57b 3e3a355c bc1f20d8 3e19c7ac 3c29ecc8 be207fa9 0
case 212 3f01122a 3e3c6678 bf1004a2 bc7881c8 3f8bbb98 3faf46e0 3f7d4dec 3e1435e1 3d905520 3ddd4dbc 3e92e540 3ebceb66 3f959a08 bf1abcf2 bf4bf106 | bef7bd14 bf60095f 00000000 1 3f0b5415 3fa49043 bf0c231b bdab69ca 3e337988 3def63b6 bcee69e0 0
case 213 bfd4311c bfe0d705 3f9c91ec 400575cc c065c0cc 411366e8 3f6fae5d beb3e0a1 3eecdfda bedd8bbb 3fa9ef14 c0c2a0d2 41168d2a 3eab093b bf714b32 | bf25bf5f 3f43196e 00000000 1 c0b3c263 40ff7aea c001c3fa bf9d4b96 3eede6f0 bfb67da6 bedff772 0
case 214 3e8289d2 3e8e44be bee884ea bea096ca bf53aba8 3fd2dca8 3f800000 00000000 3e0eccb8 3cb05e30 3e5fe5f3 bd9f29a0 3fce37ba 3f800000 00000000 | 00000000 00000000 00000000 0
case 215 3c5357f1 be4665b4 3d2dd498 3eadd58a 400dce9c 3ff202e4 3f6c346e 3ec56a84 3c708840 be134327 3e91eabe 3fd9841a 401bd0e4 bd6225e5 3f7f9c09 | 00000000 00000000 00000000 0
case 216 3ed2bcd5 bee061d5 beea54eb 3ec4d0b7 bf8b2596 3f9965b4 3f53a327 bf100893 3d540cdc 3d7816bc 3e944742 3f1b383e 40b45c9d 3f39953c bf305670 | 00000000 00000000 00000000 0
case 217 3fc0b8c7 bf10d106 bfbfe605 3edf0287 3fa24f40 be5f71c0 3f245f1c 3f444291 3ed32ba6 bc274140 00000000 c0f88aa2 411d00df 3f7fdeb7 3d02878d | 00000000 00000000 00000000 0
case 218 be8802d3 3f44eda5 3ed6f157 bf0e8291 3fc6a68c 3fe890d0 3f800000 00000000 3de8daa0 bd2e52f6 3e370ea1 40529c7c c0269d8c 3f800000 00000000 | 00000000 00000000 00000000 0
case 219 3e878b4b be640d18 be73115e 3e067490 4036cfee 3f6227c0 3f0b8a56 bf56a05b 3cd99e80 3d2bbc8c 3eb9e70e bfd3dbe4 bf1a3fd8 3e5a966e bf7a1973 | 00000000 00000000 00000000 0
case 220 bef27585 be3de11c 3e88b031 3ebee168 3fb5cdec 3ed477a8 3cbcebae 3f7fee92 3d977ec8 3e19759a 3e1e0970 3fafbcf4 3f228a9c 3de62929 bf7e60d4 | 00000000 00000000 00000000 0
case 221 bfce3706 3e000436 3fa654f6 be9099bb 407164e4 3f58cdc0 3f6671bb 3edefe26 bdb19964 3e031508 3f5289a5 40836f5e 3fc241d6 bf2e2ac1 3f3b9f20 | be9cf18e 3f73ad28 00000000 1 4088d182 3f3c88ba 3f00f884 bde2282c 3e2c4490 bf47faf2 bea3d672 0
case 222 be05c91e 3ef5df64 3d9bb35c bf16c5aa c03171e3 bded31e0 3f800000 00000000 be149f2a 3d818e9e 3e28fe86 c0232fc7 be16d8d0 3f800000 00000000 | 3f7b58d9 3e425894 00000000 1 c0356971 bde36a3a bd7de372 3b9c7a64 be91cd4e 3d148ecc bd3aebc8 0
case 223 3f032255 be0d0dd1 bf0d7543 bd12f24c 3d616200 3fa9cc54 bee11fdd bf65ecef bda55a18 3e0e8984 3ed40ac2 3dbe3bbc 3f8d68aa 3f36469c bf33c10b | 3f5a290e bf05f2ae 00000000 1 bdfe09cc 3fb5903f be375d66 3dbc3eae be5e22c4 3ea09e54 be661a8f 0
case 224 bf0d24a4 bdd3cb18 3ef9ee54 bd88de70 bf46f48e 3fbbf4f8 3f615979 3ef2edc8 3da6e3b4 bdeb15d6 3db68bd4 bf3ea5c7 3fbe5cb9 bf49df87 bf1d6d49 | 00000000 00000000 00000000 0
case 225 3ea71c8f be221ddb 3ea7870d be22b6b1 be877920 c027fe50 3f19e5d4 3f4c938c 3e0ad514 3ec73f8e 3f338f67 be106392 c026cbb2 3f485f71 bf1f5509 | 3f65ad19 3ee223ee 00000000 1 be39cab8 c024f36a 3daa4f11 3d42b98e bd259c96 3cec241c bf094351 0
case 226 be440302 3ec9f391 3e7348c6 be74d816 c03933f2 403aaaf6 3f800000 00000000 be05fca6 3dba38a8 3ea438e2 c036d232 403af665 3f800000 00000000 | bf53f95e bf0f8994 00000000 1 c03466bb 4048174b 3d99a6eb 3e56c552 3d1addd6 3e520e62 be6fbe12 0
case 227 be1d6faa 3eb28663 3e0f448e becd6719 bf819404 401422a8 bf35770e 3f34928f bc8e1780 bdb4809d 3edf8858 bf85eff1 401523e2 beddc833 bf66bc76 | bf6ad0ea 3ecbef72 00000000 1 bf5a7c03 4011392c 3e22b014 bd3a5f1f 3e458f7c bd7aad9f be9762f2 0
case 228 3f16dea3 3d3d75f7 beedc712 3e2d9209 bf82c786 bf7e7afd bf7ea686 3dd202a4 bd50dcd6 3d7589ec 3e74651c bf8798c6 bfdf1e89 3f6a6a42 3ecdc5bf | 00000000 00000000 00000000 0
case 229 bd8600dc bf6e76e9 bf0fa7a6 3f8bb3de c0b7cdf0 411db97c bf517ab2 bf132789 3e66b5cc 3e08e510 3f3cea7a c0ff0a04 412fedd8 bf2184aa 3f469d69 | 00000000 00000000 00000000 0
case 230 be7c2ca6 3e83c126 3d88d06c bdf90939 3ff1d8e4 c01dfdbc 3f800000 00000000 bb451b00 3caa7158 3e8ccd34 4028e268 c01fee67 3f800000 00000000 | 00000000 00000000 00000000 0
case 231 be7974aa 3e81f8e3 3d9f8f14 be1d6794 400bb598 403e40fc 3f4480f2 bf241485 bd696d08 bd96b9fa 3edc2852 3fe62567 40150efc beff2b7b bf5df10f | 00000000 00000000 00000000 0
case 232 bea9289c bef77c7a 3ef2f34a 3efce206 3db35960 3f39bc74 3f7106f4 beac8873 bd99c867 3b1e1ac0 3e33189a 4092f938 400ebd3e be6163c7 3f79b8c7 | 00000000 00000000 00000000 0
case 233 3fbfa928 bfddf44a bf57d983 3f8b75e4 c0bdb8fb c098d3b2 bf56df72 bf0b291b 3ed41fa8 be233d46 00000000 bfb40c4c c18bf796 bf6ffaf5 3eb2464a | 00000000 00000000 00000000 0
case 234 bf172e26 bd3adc76 3f3fe31e 3e677b28 3fb99274 c022b0c5 3f800000 00000000 bcd5f1ac 3d89ceae 3e9154bc 40a27308 c0b380c1 3f800000 00000000 | 00000000 00000000 00000000 0
case 235 3eb71033 bed62fee be71d4d2 3e8d0742 bfdc48b8 402172c2 3e9de21a 3f73864c 3e11d658 3be641c0 3e385ba4 be999478 40e1c355 bf4cd1ae 3f199318 | 00000000 00000000 00000000 0
case 236 3ef90fd6 3dd8028b bf09d279 bbbd48d0 bf89e494 bf51e0a4 3df2b91f 3f7e321a 3e161cc6 bd9d3ba1 3ebc7f92 bf5a56be bf4dae56 3f1775d4 bf4e6331 | 3f7ffc46 bc2eb528 00000000 1 bf94f3b8 bf76a5ea bdb0f245 be131519 be9f2165 be23de51 bd8522f0 0
case 237 bf1a9a0d bffbf7bb 3f78fe49 3fc85613 40ff4580 c0cf9d1f bf7b4b18 be437482 be046508 beb95b72 3f62e7c6 40edaafc c0dfed41 bf1db9e5 bf49a3b3 | bf7965e3 3e670e04 00000000 1 40fbd39f c0da552e bddc7847 beab80f3 3ee28a2e 3e33025a bee28dc0 0
case 238 3ee03e3e 3da4f6d1 bf1c8a85 bdc0d9d5 bfb76470 3e86ad08 3f800000 00000000 3cbb9e40 3cfa8b90 3edfefda bfd4270d 3e809f5a 3f800000 00000000 | be28293b 3f7c8645 00000000 1 bfcc2918 3d358cd0 be262542 be5ff6dc 3d7fbe98 be53db80 bec959f7 0
case 239 3e9120b6 befb540c bea1d4be 3efa9d58 c0000680 40033086 bf799987 3e638af9 3d689038 3e082710 3e8aa22e bff2813d 3fecf6ae bdf4e163 3f7e29d4 | bf729dcb bea36164 00000000 1 bfee06ce 3ff9a242 3e103190 bdcbec9a 3d0f4de0 3dcab946 be32fe4a 0
case 240 bd20812f 3e9d0f46 3d0bf1d3 be941580 bf00c202 3f68aed0 bf7ffd96 bc0cba48 bd8d204e bdd0f26f 3dec5040 bf071450 3f6fe860 bf19909c bf4cd38b | bf7dce0a be05d01a 00000000 1 bef995ae 3f8833db 3c7dcab0 3e1ee39a 3d24978c 3e01fd5a bd8c236b 0
case 241 bcfb764d 3e430585 bcfd7db3 3e42078b 40916ca2 3f819300 3e8e29ee 3f75ef04 bedc77b9 bee5dfcc 3fb55d6b 408e1db9 3f8a916a 3eefe391 3f622984 | 3eebedcf bf633382 00000000 1 40856457 3fb23520 bec084b3 3ec2887e be8b9623 3e9e8ed6 bf4dfd1b 0
case 242 be27bca0 befe1f25 3dcc5638 3f181bd1 bfc7188e beeab5d0 3f800000 00000000 bd97c6ca 3daa0a22 3df2f24d bfc7cfd9 befdb206 3f800000 00000000 | bf78d5a8 3e7093c6 00000000 1 bfc7140c bedd10e6 39105000 3cda4e9a 3bbbcd80 3d82847e bd957292 0
case 243 3efefce9 be0018ce bf35dc08 3e29ac88 3fad0858 c03aeff6 be9b99f6 3f73e438 3de57f64 3cb817d0 3de90239 3fb1bdae c03b6775 3f7d010d 3e1c3376 | 00000000 00000000 00000000 0
case 244 bebd34a4 bef56598 3e90b898 3f1cb36a bdd7e9b0 bf8fe7a0 bdc9a4ea 3f7ec192 3de575cc 3dbb70aa 3ed2a8be bf4f820d bf5e6950 be2b37e6 bf7c6564 | beda16e9 bf679d4b 00000000 1 bf2257d5 bf458e0e bf075a9f 3eb48264 3e34a8e0 3dc6da10 bea91468 0
case 245 bf3816e4 3f32f1a6 3faef158 ba330800 4010f220 40218244 bf2f6280 bf3a7bd6 be55edac bdeb19d8 3e9c0c38 40979548 4009b650 bee43152 3f652b0a | 00000000 00000000 00000000 0
case 246 bf05f902 3e83af34 3f04ea8c bef4bb96 bfec2cd8 3e801d00 3f800000 00000000 3d0c7f80 3b344e40 3ec2e720 c01b7fee 3f385855 3f800000 00000000 | bdfe0e8c 3f7e05c9 00000000 1 c016ee76 3eda3fe0 bf036026 3e3445c1 3d922f10 be9670ca be277c7f 0
case 247 3f1548a2 be77a7f6 bed8fded 3d7f4618 3fb0e060 bfb80c70 bf2f3dec 3f3a9e36 3df02f7c 3dd4ada8 3e7a6e28 3f949f88 c009e601 bf7f93fc 3d6b137f | 00000000 00000000 00000000 0
case 248 3f070250 3e550fcc beec9477 be902718 bf216e42 be1fcd40 3f6ae74a becb884d 3bb85b20 be079bdc 3ee19fdc 407f892a bf9f7250 bf6b1b65 beca9715 | 00000000 00000000 00000000 0
case 249 c00ea77f 3f0054e0 3ff5986e 3e117fa8 409c43b8 41042fc8 bf7beb2c be361eec 3e210544 3ec72b8e 00000000 bef695e0 41a532f9 bf71bc4f bea8859a | 00000000 00000000 00000000 0
case 250 3ce62124 3e746bd2 3e4405d0 be3bc4c8 402c58d8 c01173a3 3f800000 00000000 3bb38e20 3e0e9584 3e00c635 bfc37864 bdbd2720 3f800000 00000000 | 00000000 00000000 00000000 0
case 251 3ec58cfa bd59fc14 be4661d0 bdd20da8 bfe8d2d2 c02d2ada bf581d50 3f09396c bcc00b18 bad63500 3ee24f5e 3ff51f66 c0b4891e 3de3cdac 3f7e6950 | 00000000 00000000 00000000 0
case 252 3b4193c0 bedfff27 be302910 3ecb7f17 3f5b52b8 bd6971c0 3f70a99d beae8e93 be0cb580 be0cabe6 3e6456fc 3f4d34e1 3e25032f 3f2a7391 3f3f00e0 | 3f7d72a6 be103b57 00000000 1 3f2eba8b bc6afd38 be3260b4 3d2eb272 bdf3d2b0 be33b302 be3ba344 0
case 253 3f876440 bf8b82b6 bfa659be 3f8605ec bfa8f350 c065d4cc be23a4b9 3f7cb5bd 3e909f22 be8a2f14 3e932e26 bfc2a968 c08a09f1 bf5db0fa bf0004f3 | bf56b4f6 3f0b6a9e 00000000 1 bfd6e4f9 c08baeb9 beb7c6a4 bf462298 be21dc88 bd526400 bd3f5128 0
case 254 bd1e7ec8 bf05d2d9 3dc3731a 3eae0c43 c03516ea bf6c77d8 3f800000 00000000 bd81b504 be13865b 3e486cc4 c02f8afb bf375001 3f800000 00000000 | bf7cf5f2 3e1d5221 00000000 1 c02c7f40 bf609bdc 3e097aa3 3d3dbfc2 3d42eecc be252f6c be2af260 0
case 255 bdf878d9 bef9da61 3e8535ab 3eba2895 3f49af90 bf3bf378 3e9b8e01 3f73e61f bdb22d65 be061bd9 3ed57a44 3f2da2e3 bf6e428c bf5f2b10 3efadaa9 | bf2ab1ec bf3ec928 00000000 1 3f816df1 bf24c0a7 3e64b148 3db99688 3eaa71fe 3e9303ca be82b916 0
